"action","boro","building","camis","critical_flag","cuisine_description","dba","inspection_date","inspection_type","phone","record_date","score","street","violation_code","violation_description","zipcode","grade","grade_date"
"Violations were cited in the following area(s).","MANHATTAN","34",50048817,"Critical","Korean","BARN JOO 35",2016-10-31,"Pre-permit (Operational) / Re-inspection","2125644430",2017-10-19 06:00:49,13,"W 35TH ST","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10001,"A",2016-10-31
"Violations were cited in the following area(s).","MANHATTAN","460",41688540,"Not Critical","American","FOOD DEPOT",2014-04-22,"Cycle Inspection / Re-inspection","2129470767",2017-10-19 06:00:49,15,"WEST   34 STREET","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.",10001,"B",2014-04-22
"Violations were cited in the following area(s).","MANHATTAN","11",41667050,"Not Critical","Korean","MARU",2015-01-13,"Administrative Miscellaneous / Re-inspection","2122733413",2017-10-19 06:00:49,NA,"W 32ND ST","22A","Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","132",50001520,"Not Critical","American","FRIEDMAN'S",2016-02-05,"Smoke-Free Air Act / Initial Inspection","2129719400",2017-10-19 06:00:49,NA,"WEST 31 STREET","15L","Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","154",50046619,"Not Critical","Japanese","A CANAAN SUSHI",2017-06-26,"Cycle Inspection / Re-inspection","2129479298",2017-10-19 06:00:49,13,"W 29TH ST","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2017-06-26
"Violations were cited in the following area(s).","MANHATTAN","254",41658103,"Critical","Asian","CHOP SHOP",2015-03-24,"Cycle Inspection / Initial Inspection","2128200333",2017-10-19 06:00:49,34,"10 AVENUE","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","408",41715661,"Not Applicable","American","TABOO",2017-06-29,"Smoke-Free Air Act / Initial Inspection","2129672100",2017-10-19 06:00:49,NA,"8 AVENUE","15F",NA,10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","71",50000974,"Critical","Continental","TABLE 71 @ MARRIOTT CORTYARD",2014-04-14,"Cycle Inspection / Initial Inspection","2122394569",2017-10-19 06:00:49,29,"WEST 35TH ST","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","11",40903172,"Not Critical","American","TRACKS RAW BAR & GRILL",2017-01-23,"Cycle Inspection / Re-inspection","2122446350",2017-10-19 06:00:49,13,"PENN STATION 33RD STREET","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10001,"A",2017-01-23
"Violations were cited in the following area(s).","MANHATTAN","135",41104417,"Not Critical","American","HELEN MILLS EVENT SPACE AND THEATER",2017-08-02,"Cycle Inspection / Initial Inspection","2122436200",2017-10-19 06:00:49,4,"WEST   26 STREET","10I","Single service item reused, improperly stored, dispensed; not used when required.",10001,"A",2017-08-02
"Violations were cited in the following area(s).","MANHATTAN","367",50002933,"Not Critical","Sandwiches","SUBWAY",2015-10-30,"Cycle Inspection / Re-inspection","2125649191",2017-10-19 06:00:49,11,"W 34TH ST","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,"A",2015-10-30
"Violations were cited in the following area(s).","MANHATTAN","140",50040257,"Critical","American","TILL & SPROCKET",2016-11-09,"Cycle Inspection / Initial Inspection","__________",2017-10-19 06:00:49,23,"W 30TH ST","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","6",41384019,"Critical","American","LEGENDS NYC",2014-02-21,"Cycle Inspection / Initial Inspection","2129677792",2017-10-19 06:00:49,21,"WEST   33 STREET","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","240",41068607,"Critical","Latin (Cuban, Dominican, Puerto Rican, South & Central American)","CAFE NUNEZ",2017-07-28,"Cycle Inspection / Initial Inspection","2125647444",2017-10-19 06:00:49,18,"WEST   35 STREET","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","116",41475994,"Critical","American","HAMPTON INN-HERALD SQUARE",2017-07-17,"Cycle Inspection / Initial Inspection","2129479700",2017-10-19 06:00:49,25,"WEST   31 STREET","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","409",50051650,"Not Critical","Peruvian","RIKO",2017-03-16,"Cycle Inspection / Initial Inspection","2126437555",2017-10-19 06:00:49,32,"8TH AVE","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","28",50045048,"Not Critical","Asian","HANAMICHI",2016-03-31,"Pre-permit (Operational) / Re-inspection","2127365393",2017-10-19 06:00:49,9,"W 32ND ST","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10001,"A",2016-03-31
"Violations were cited in the following area(s).","MANHATTAN","286",41298537,"Not Critical","Bagels/Pretzels","BROOKLYN BAGEL & COFFEE COMPANY",2014-04-24,"Cycle Inspection / Re-inspection","2129242824",2017-10-19 06:00:49,7,"8 AVENUE","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2014-04-24
"Violations were cited in the following area(s).","MANHATTAN","251",50006441,"Critical","American","SLAKE",2014-10-24,"Inter-Agency Task Force / Initial Inspection","2126958970",2017-10-19 06:00:49,13,"W 30TH ST","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","413415",41373304,"Not Critical","Chinese","MING'S RESTAURANT",2017-07-13,"Cycle Inspection / Initial Inspection","2128681378",2017-10-19 06:00:49,16,"9 AVENUE","09C","Food contact surface not properly maintained.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","655",50013145,"Critical","CafÃ©/Coffee/Tea","CENTER PLATE- CONCOURSE CAFE-JACOB K JAVITS CONVENTION CENTER",2016-06-17,"Cycle Inspection / Initial Inspection","2122162404",2017-10-19 06:00:49,13,"W 34TH ST","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",10001,"A",2016-06-17
"Violations were cited in the following area(s).","MANHATTAN","35",41267359,"Critical","Korean","MADANGSUI",2015-09-04,"Cycle Inspection / Re-inspection","2125649333",2017-10-19 06:00:49,40,"WEST   35 STREET","06F","Wiping cloths soiled or not stored in sanitizing solution.",10001,"C",2015-09-04
"Violations were cited in the following area(s).","MANHATTAN","28",50002741,"Critical","Korean","STARRY NIGHT",2015-10-20,"Cycle Inspection / Initial Inspection","2128683392",2017-10-19 06:00:49,20,"W 33 STREET","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","2",41649359,"Critical","CafÃ©/Coffee/Tea","DUNKIN' DONUTS",2017-09-29,"Cycle Inspection / Initial Inspection","2126437083",2017-10-19 06:00:49,18,"PENNSYLVANIA PLAZA","05D","Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","1250",41694144,"Not Critical","Korean","GAONNURI",2014-11-12,"Cycle Inspection / Initial Inspection","2129719045",2017-10-19 06:00:49,12,"BROADWAY","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2014-11-12
"Violations were cited in the following area(s).","MANHATTAN","27",40729264,"Not Critical","Irish","PLAYWRIGHT TAVERN",2015-04-07,"Cycle Inspection / Initial Inspection","2122688868",2017-10-19 06:00:49,4,"WEST   35 STREET","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,NA,NA
"No violations were recorded at the time of this inspection.","MANHATTAN","1178",50016246,"Not Applicable","American","DIG INN SEASONAL MARKET",2015-10-26,"Cycle Inspection / Initial Inspection","2125457867",2017-10-19 06:00:49,0,"BROADWAY",NA,NA,10001,"A",2015-10-26
"Violations were cited in the following area(s).","MANHATTAN","352",40539007,"Critical","American","MUSTANG HARRY'S",2015-11-02,"Cycle Inspection / Re-inspection","2122688930",2017-10-19 06:00:49,15,"SEVENTH AVENUE","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10001,"B",2015-11-02
"Violations were cited in the following area(s).","MANHATTAN","157",41325953,"Critical","Delicatessen","33 Gourmet",2014-09-24,"Cycle Inspection / Re-inspection","2129041351",2017-10-19 06:00:49,26,"WEST   33 STREET","06A","Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.",10001,"B",2014-09-24
"Violations were cited in the following area(s).","MANHATTAN","503",41716904,"Critical","Pizza","HIGHLINE PIZZERIA",2016-11-16,"Cycle Inspection / Re-inspection","2125643330",2017-10-19 06:00:49,9,"WEST   28 STREET","02B","Hot food item not held at or above 140Âº F.",10001,"A",2016-11-16
"Violations were cited in the following area(s).","MANHATTAN","132",41703804,"Not Critical","American","PENNSYLVANIA 6",2015-11-04,"Cycle Inspection / Re-inspection","2127273666",2017-10-19 06:00:49,5,"WEST   31 STREET","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2015-11-04
"Violations were cited in the following area(s).","MANHATTAN","136",41503082,"Not Critical","American","STATLER GRILL",2015-02-23,"Cycle Inspection / Initial Inspection","2127363353",2017-10-19 06:00:49,62,"WEST 33rd STREET","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","150",50034908,"Critical","American","MADISON SQUARE TAVERN",2016-11-15,"Cycle Inspection / Re-inspection","2122440410",2017-10-19 06:00:49,31,"W 30TH ST","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,"C",2016-11-15
"Violations were cited in the following area(s).","MANHATTAN","150",50034908,"Not Critical","American","MADISON SQUARE TAVERN",2016-02-17,"Cycle Inspection / Initial Inspection","2122440410",2017-10-19 06:00:49,26,"W 30TH ST","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","256",40673117,"Critical","Pizza","10TH AVENUE PIZZA & CAFE",2015-08-10,"Cycle Inspection / Initial Inspection","2123669222",2017-10-19 06:00:49,22,"10TH AVE BET 24 & 25 ST )","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","2",41649359,"Not Critical","CafÃ©/Coffee/Tea","DUNKIN' DONUTS",2016-09-27,"Cycle Inspection / Initial Inspection","2126437083",2017-10-19 06:00:49,11,"PENNSYLVANIA PLAZA","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,"A",2016-09-27
"No violations were recorded at the time of this inspection.","MANHATTAN","416",41264671,"Not Applicable","Barbecue","BROTHER JIMMY'S BBQ",2015-06-16,"Trans Fat / Compliance Inspection","2129677603",2017-10-19 06:00:49,NA,"8 AVENUE",NA,NA,10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","240",41351354,"Critical","Spanish","TXIKITO",2016-01-27,"Cycle Inspection / Initial Inspection","2122424730",2017-10-19 06:00:49,13,"9 AVENUE","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10001,"A",2016-01-27
"Violations were cited in the following area(s).","MANHATTAN","132",50001520,"Not Critical","American","FRIEDMAN'S",2016-02-05,"Cycle Inspection / Initial Inspection","2129719400",2017-10-19 06:00:49,12,"WEST 31 STREET","09C","Food contact surface not properly maintained.",10001,"A",2016-02-05
"Violations were cited in the following area(s).","MANHATTAN","875",41101900,"Not Critical","CafÃ©/Coffee/Tea","STARBUCKS",2016-03-08,"Cycle Inspection / Initial Inspection","2126296540",2017-10-19 06:00:49,10,"6 AVENUE","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2016-03-08
"Violations were cited in the following area(s).","MANHATTAN","29",41651801,"Critical","American","THE LIBERTY",2016-08-08,"Cycle Inspection / Initial Inspection","2129674000",2017-10-19 06:00:49,16,"WEST   35 STREET","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","393",41543738,"Not Critical","Chinese","NEW DYNASTY",2015-05-27,"Cycle Inspection / Re-inspection","2125949734",2017-10-19 06:00:49,17,"8 AVENUE","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,"B",2015-05-27
"Violations were cited in the following area(s).","MANHATTAN","299",41629572,"Critical","Spanish","PORTENO",2015-04-07,"Cycle Inspection / Re-inspection","2126959694",2017-10-19 06:00:49,10,"10 AVENUE","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10001,"A",2015-04-07
"Violations were cited in the following area(s).","MANHATTAN","4",50035437,"Not Critical","Italian","ULIVO",2016-05-18,"Pre-permit (Operational) / Initial Inspection","2126848000",2017-10-19 06:00:49,6,"W 28TH ST","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10001,"A",2016-05-18
"Violations were cited in the following area(s).","MANHATTAN","32",50016792,"Not Critical","Seafood","CAJUN SEA",2016-11-16,"Cycle Inspection / Re-inspection","2125647333",2017-10-19 06:00:49,11,"W 33RD ST","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2016-11-16
"Violations were cited in the following area(s).","MANHATTAN","429",41478964,"Not Critical","Hamburgers","MCDONALD'S",2015-01-21,"Cycle Inspection / Re-inspection","2127367890",2017-10-19 06:00:49,11,"7 AVENUE","08B","Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",10001,"A",2015-01-21
"Violations were cited in the following area(s).","MANHATTAN","402",40513609,"Critical","American","SKYLIGHT DINER",2017-07-14,"Cycle Inspection / Initial Inspection","2122440395",2017-10-19 06:00:49,7,"WEST   34 STREET","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,"A",2017-07-14
"Violations were cited in the following area(s).","MANHATTAN","165",41387224,"Critical","African","B AND B RESTAURANT",2017-02-13,"Cycle Inspection / Initial Inspection","6464298174",2017-10-19 06:00:49,30,"WEST   26 STREET","02B","Hot food item not held at or above 140Âº F.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","32",50017701,"Not Critical","Korean","THE KUNJIP",2016-01-12,"Cycle Inspection / Initial Inspection","2122169487",2017-10-19 06:00:49,20,"W 32ND ST","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","139",41579144,"Not Critical","Middle Eastern","SALT AND PEPPER DINER",2015-09-11,"Cycle Inspection / Initial Inspection","2122681919",2017-10-19 06:00:49,22,"WEST   33 STREET","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","71",50000974,"Not Critical","Continental","TABLE 71 @ MARRIOTT CORTYARD",2014-10-24,"Trans Fat / Initial Inspection","2122394569",2017-10-19 06:00:49,NA,"WEST 35TH ST","16B","The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","460",50044062,"Critical","Pizza/Italian","ROCKY'S BAR & RESTAURANT",2017-08-21,"Cycle Inspection / Initial Inspection","2122440004",2017-10-19 06:00:49,18,"W 34TH ST","02B","Hot food item not held at or above 140Âº F.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","159",41668452,"Critical","Pizza/Italian","SBARRO",2016-04-22,"Cycle Inspection / Initial Inspection","2125641909",2017-10-19 06:00:49,42,"WEST   33 STREET","06F","Wiping cloths soiled or not stored in sanitizing solution.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","50",40398811,"Not Critical","American","RICK'S CABARET",2016-07-21,"Cycle Inspection / Initial Inspection","2123720850",2017-10-19 06:00:49,11,"WEST   33 STREET","09C","Food contact surface not properly maintained.",10001,"A",2016-07-21
"Violations were cited in the following area(s).","MANHATTAN","168",40821987,"Critical","Spanish","MILANES SPANISH RESTAURANT",2015-01-02,"Cycle Inspection / Re-inspection","2122439797",2017-10-19 06:00:49,11,"WEST   25 STREET","04M","Live roaches present in facility's food and/or non-food areas.",10001,"A",2015-01-02
"No violations were recorded at the time of this inspection.","MANHATTAN","2",41449886,"Not Applicable","Bagels/Pretzels","AUNTIE ANNE'S PRETZELS",2016-03-17,"Cycle Inspection / Initial Inspection","2127601749",2017-10-19 06:00:49,0,"PENN STATION",NA,NA,10001,"A",2016-03-17
"Violations were cited in the following area(s).","MANHATTAN","481",40559634,"Critical","American","TICK TOCK DINER",2017-08-22,"Cycle Inspection / Initial Inspection","2122688444",2017-10-19 06:00:49,36,"8 AVENUE","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","312",41631760,"Not Critical","Chinese","DONG CHUN HONG CHINESE RESTAURANT",2015-01-09,"Cycle Inspection / Re-inspection","2122687888",2017-10-19 06:00:49,27,"5 AVENUE","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,"B",2015-01-09
"Violations were cited in the following area(s).","MANHATTAN","6",41384019,"Not Critical","American","LEGENDS NYC",2015-10-06,"Cycle Inspection / Initial Inspection","2129677792",2017-10-19 06:00:49,11,"WEST   33 STREET","09B","Thawing procedures improper.",10001,"A",2015-10-06
"Violations were cited in the following area(s).","MANHATTAN","138",41087782,"Not Critical","American","AROME CAFE 32",2017-03-01,"Cycle Inspection / Initial Inspection","2122957870",2017-10-19 06:00:49,27,"WEST   32 STREET","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","444",50060083,"Critical","American","THE HUDSON BAR ROOM",2017-04-07,"Pre-permit (Operational) / Re-inspection","6469525980",2017-10-19 06:00:49,17,"10TH AVE","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,"B",2017-04-07
"Violations were cited in the following area(s).","MANHATTAN","315",41644000,"Not Critical","American","DEATH AVE",2015-04-20,"Cycle Inspection / Re-inspection","2126958080",2017-10-19 06:00:49,18,"10 AVENUE","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.",10001,"B",2015-04-20
"Violations were cited in the following area(s).","MANHATTAN","254",41658103,"Critical","Asian","CHOP SHOP",2015-03-24,"Cycle Inspection / Initial Inspection","2128200333",2017-10-19 06:00:49,34,"10 AVENUE","02B","Hot food item not held at or above 140Âº F.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","53",50001312,"Critical","Japanese","MEW",2015-10-13,"Cycle Inspection / Re-inspection","6463689384",2017-10-19 06:00:49,22,"W 35TH ST","04C","Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.",10001,"B",2015-10-13
"Violations were cited in the following area(s).","MANHATTAN","283",41137141,"Not Critical","Tex-Mex","CHIPOTLE MEXICAN GRILL",2014-12-18,"Cycle Inspection / Initial Inspection","2126456270",2017-10-19 06:00:49,9,"7 AVENUE","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2014-12-18
"Violations were cited in the following area(s).","MANHATTAN","632",41311425,"Critical","American","DEAN & DELUCA NEW YORK",2014-06-30,"Cycle Inspection / Initial Inspection","2124308312",2017-10-19 06:00:49,23,"WEST   28 STREET","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","304",41392820,"Not Critical","Sandwiches","QUIZNO'S SUBS",2015-11-23,"Cycle Inspection / Re-inspection","2127364400",2017-10-19 06:00:49,9,"WEST 34 STREET","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10001,"A",2015-11-23
"Violations were cited in the following area(s).","MANHATTAN","42",40882849,"Critical","American","BRENDAN'S",2016-03-02,"Cycle Inspection / Initial Inspection","2125645405",2017-10-19 06:00:49,18,"WEST   35 STREET","02B","Hot food item not held at or above 140Âº F.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","121",50003456,"Critical","CafÃ©/Coffee/Tea","LUNA",2015-06-22,"Cycle Inspection / Re-inspection","6468072167",2017-10-19 06:00:49,23,"W 29TH ST","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,"B",2015-06-22
"Violations were cited in the following area(s).","MANHATTAN","481",40596359,"Not Critical","American","NEW YORKER HOTEL KITCHEN",2014-11-10,"Cycle Inspection / Initial Inspection","2122440719",2017-10-19 06:00:49,63,"8 AVENUE","10E","Accurate thermometer not provided in refrigerated or hot holding equipment.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","124",41023740,"Not Critical","American","JOHNY'S LUNCHEONETTE",2014-03-27,"Cycle Inspection / Initial Inspection","2122436230",2017-10-19 06:00:49,14,"WEST   25 STREET","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","431",50033885,"Critical","American","A&H DELI",2017-01-06,"Cycle Inspection / Initial Inspection","2125636200",2017-10-19 06:00:49,26,"7TH AVE","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","393",41543738,"Critical","Chinese","NEW DYNASTY",2014-12-01,"Cycle Inspection / Re-inspection","2125949734",2017-10-19 06:00:49,9,"8 AVENUE","02G","Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.",10001,"A",2014-12-01
"Violations were cited in the following area(s).","MANHATTAN","1178",50016246,"Not Critical","American","DIG INN SEASONAL MARKET",2014-12-10,"Pre-permit (Operational) / Initial Inspection","2125457867",2017-10-19 06:00:49,16,"BROADWAY","10A","Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","530542",41699086,"Critical","French","GALLOW GREEN",2014-07-24,"Cycle Inspection / Re-inspection","2125641662",2017-10-19 06:00:49,10,"WEST   27 STREET","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",10001,"A",2014-07-24
"Violations were cited in the following area(s).","MANHATTAN","276",50035305,"Not Critical","American","HOLLAND HOUSE",2017-02-06,"Cycle Inspection / Initial Inspection","2126852727",2017-10-19 06:00:49,11,"5TH AVE","10H","Proper sanitization not provided for utensil ware washing operation.",10001,"A",2017-02-06
"Violations were cited in the following area(s).","MANHATTAN","402",40513609,"Critical","American","SKYLIGHT DINER",2015-11-12,"Cycle Inspection / Initial Inspection","2122440395",2017-10-19 06:00:49,28,"WEST   34 STREET","02B","Hot food item not held at or above 140Âº F.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","122",41444184,"Not Critical","American","THE AINSWORTH",2017-07-24,"Cycle Inspection / Initial Inspection","2127410646",2017-10-19 06:00:49,36,"WEST   26 STREET","10B","Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","11",41667050,"Critical","Korean","MARU",2016-01-29,"Inter-Agency Task Force / Initial Inspection","2122733413",2017-10-19 06:00:49,23,"W 32ND ST","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","224",50060889,"Not Critical","Vegetarian","BOMBAY SANDWICH CO",2017-04-24,"Pre-permit (Non-operational) / Initial Inspection","2125648418",2017-10-19 06:00:49,14,"W 35TH ST","10D","Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","601",41166914,"Not Critical","American","EAT ON 8TH",2016-01-19,"Cycle Inspection / Initial Inspection","2123528548",2017-10-19 06:00:49,16,"WEST 26 STREET","10J","''''Wash hands sign not posted at hand wash facility.",10001,NA,NA
"Violations were cited in the following area(s).","MANHATTAN","387",50042048,"Critical","Juice, Smoothies, Fruit Salads","JUICOLOGY",2016-11-04,"Cycle Inspection / Initial Inspection","3472611593",2017-10-19 06:00:49,28,"8TH AVE","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.",10001,NA,NA
